# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.misses,1710657997655000000,1710658057651000000,29
FilePageCache.capacityInBytes,1710657997655000000,1710658057651000000,524288000
FilePageCache.maxCacheSizeInBytes,1710657997655000000,1710658057651000000,436199424
FilePageCache.pageLoadsAboveSizeThreshold,1710657997655000000,1710658057651000000,0
FilePageCache.totalPageLoadsUs,1710657997655000000,1710658057651000000,30388
FilePageCache.pageLoads,1710657997655000000,1710658057651000000,29
DirectByteBufferAllocator.disposed,1710657997655000000,1710658057651000000,0
StorageLockContext.competingThreads.90P,1710657997655000000,1710658057651000000,0
AWTEventQueue.eventsDispatched,1710657997655000000,1710658057651000000,972
FlushQueue.queueSizeAvg,1710657997655000000,1710658057651000000,0.04952581664910432
FlushQueue.waitingTimeMaxNs,1710657997655000000,1710658057651000000,13893631
NonBlockingReadAction.finalizedExecutionTimeUs,1710657997655000000,1710658057651000000,9707
FlushQueue.waitingTime90PNs,1710657997655000000,1710658057651000000,460799
NonBlockingReadAction.finalizedExecutionsCount,1710657997655000000,1710658057651000000,24
FlushQueue.tasksExecuted,1710657997655000000,1710658057651000000,949
FlushQueue.queueSizeMax,1710657997655000000,1710658057651000000,1
FlushQueue.executionTimeMaxNs,1710657997655000000,1710658057651000000,20578303
FlushQueue.executionTimeAvgNs,1710657997655000000,1710658057651000000,148804.9736564805
FlushQueue.queueSize90P,1710657997655000000,1710658057651000000,0
NonBlockingReadAction.failedExecutionTimeUs,1710657997655000000,1710658057651000000,0
NonBlockingReadAction.failedExecutionsCount,1710657997655000000,1710658057651000000,0
FlushQueue.waitingTimeAvgNs,1710657997655000000,1710658057651000000,264151.2644889357
AWTEventQueue.dispatchTimeAvgNs,1710657997655000000,1710658057651000000,427444.33744855964
FlushQueue.executionTime90PNs,1710657997655000000,1710658057651000000,150527
AWTEventQueue.dispatchTimeMaxNs,1710657997655000000,1710658057651000000,44040191
AWTEventQueue.dispatchTime90PNs,1710657997655000000,1710658057651000000,403455
FileNameCache.totalMisses,1710657997655000000,1710658057651000000,0
FileNameCache.fastMisses,1710657997655000000,1710658057651000000,546
FileNameCache.queries,1710657997655000000,1710658057651000000,50918
FilePageCache.disposedBuffers,1710658057651000000,1710658117651000000,8
StorageLockContext.competingThreads.max,1710658057651000000,1710658117651000000,0
FilePageCache.pageFastCacheHits,1710658057651000000,1710658117651000000,226806
FilePageCache.uncachedFileAccess,1710658057651000000,1710658117651000000,69
StorageLockContext.competingThreads.avg,1710658057651000000,1710658117651000000,0.0
FilePageCache.maxRegisteredFiles,1710658057651000000,1710658117651000000,705
FilePageCache.totalPageDisposalsUs,1710658057651000000,1710658117651000000,631
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710658057651000000,1710658117651000000,0
DirectByteBufferAllocator.reclaimed,1710658057651000000,1710658117651000000,0
FilePageCache.pageHits,1710658057651000000,1710658117651000000,10047
DirectByteBufferAllocator.hits,1710658057651000000,1710658117651000000,0
DirectByteBufferAllocator.misses,1710658057651000000,1710658117651000000,63
FilePageCache.capacityInBytes,1710658057651000000,1710658117651000000,524288000
FilePageCache.maxCacheSizeInBytes,1710658057651000000,1710658117651000000,489709568
FilePageCache.pageLoadsAboveSizeThreshold,1710658057651000000,1710658117651000000,0
FilePageCache.totalPageLoadsUs,1710658057651000000,1710658117651000000,52225
FilePageCache.pageLoads,1710658057651000000,1710658117651000000,63
DirectByteBufferAllocator.disposed,1710658057651000000,1710658117651000000,8
StorageLockContext.competingThreads.90P,1710658057651000000,1710658117651000000,0
AWTEventQueue.eventsDispatched,1710658057651000000,1710658117651000000,11339
FlushQueue.queueSizeAvg,1710658057651000000,1710658117651000000,16.74889240506329
FlushQueue.waitingTimeMaxNs,1710658057651000000,1710658117651000000,826277887
NonBlockingReadAction.finalizedExecutionTimeUs,1710658057651000000,1710658117651000000,11927989
FlushQueue.waitingTime90PNs,1710658057651000000,1710658117651000000,131596287
NonBlockingReadAction.finalizedExecutionsCount,1710658057651000000,1710658117651000000,1940
FlushQueue.tasksExecuted,1710658057651000000,1710658117651000000,6320
FlushQueue.queueSizeMax,1710658057651000000,1710658117651000000,255
FlushQueue.executionTimeMaxNs,1710658057651000000,1710658117651000000,1879048191
FlushQueue.executionTimeAvgNs,1710658057651000000,1710658117651000000,1232067.567721519
FlushQueue.queueSize90P,1710658057651000000,1710658117651000000,38
NonBlockingReadAction.failedExecutionTimeUs,1710658057651000000,1710658117651000000,450252
NonBlockingReadAction.failedExecutionsCount,1710658057651000000,1710658117651000000,18
FlushQueue.waitingTimeAvgNs,1710658057651000000,1710658117651000000,3.364130341281646E7
AWTEventQueue.dispatchTimeAvgNs,1710658057651000000,1710658117651000000,1250789.191992239
FlushQueue.executionTime90PNs,1710658057651000000,1710658117651000000,925695
AWTEventQueue.dispatchTimeMaxNs,1710658057651000000,1710658117651000000,214958079
AWTEventQueue.dispatchTime90PNs,1710658057651000000,1710658117651000000,1556479
FileNameCache.totalMisses,1710658057651000000,1710658117651000000,918
FileNameCache.fastMisses,1710658057651000000,1710658117651000000,24490
FileNameCache.queries,1710658057651000000,1710658117651000000,657697
FilePageCache.disposedBuffers,1710658117651000000,1710658177656000000,0
StorageLockContext.competingThreads.max,1710658117651000000,1710658177656000000,0
FilePageCache.pageFastCacheHits,1710658117651000000,1710658177656000000,9358
FilePageCache.uncachedFileAccess,1710658117651000000,1710658177656000000,0
StorageLockContext.competingThreads.avg,1710658117651000000,1710658177656000000,0.0
FilePageCache.maxRegisteredFiles,1710658117651000000,1710658177656000000,705
FilePageCache.totalPageDisposalsUs,1710658117651000000,1710658177656000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1710658117651000000,1710658177656000000,0
DirectByteBufferAllocator.reclaimed,1710658117651000000,1710658177656000000,0
FilePageCache.pageHits,1710658117651000000,1710658177656000000,198
DirectByteBufferAllocator.hits,1710658117651000000,1710658177656000000,0
DirectByteBufferAllocator.misses,1710658117651000000,1710658177656000000,0
FilePageCache.capacityInBytes,1710658117651000000,1710658177656000000,524288000
FilePageCache.maxCacheSizeInBytes,1710658117651000000,1710658177656000000,489709568
FilePageCache.pageLoadsAboveSizeThreshold,1710658117651000000,1710658177656000000,0
FilePageCache.totalPageLoadsUs,1710658117651000000,1710658177656000000,0
FilePageCache.pageLoads,1710658117651000000,1710658177656000000,0
DirectByteBufferAllocator.disposed,1710658117651000000,1710658177656000000,0
StorageLockContext.competingThreads.90P,1710658117651000000,1710658177656000000,0
AWTEventQueue.eventsDispatched,1710658117651000000,1710658177656000000,538
FlushQueue.queueSizeAvg,1710658117651000000,1710658177656000000,1.4554263565891472
FlushQueue.waitingTimeMaxNs,1710658117651000000,1710658177656000000,72876031
NonBlockingReadAction.finalizedExecutionTimeUs,1710658117651000000,1710658177656000000,46185
FlushQueue.waitingTime90PNs,1710658117651000000,1710658177656000000,1507327
NonBlockingReadAction.finalizedExecutionsCount,1710658117651000000,1710658177656000000,29
FlushQueue.tasksExecuted,1710658117651000000,1710658177656000000,516
FlushQueue.queueSizeMax,1710658117651000000,1710658177656000000,33
FlushQueue.executionTimeMaxNs,1710658117651000000,1710658177656000000,90177535
FlushQueue.executionTimeAvgNs,1710658117651000000,1710658177656000000,894386.9864341086
FlushQueue.queueSize90P,1710658117651000000,1710658177656000000,3
NonBlockingReadAction.failedExecutionTimeUs,1710658117651000000,1710658177656000000,0
NonBlockingReadAction.failedExecutionsCount,1710658117651000000,1710658177656000000,0
FlushQueue.waitingTimeAvgNs,1710658117651000000,1710658177656000000,2024373.9689922482
AWTEventQueue.dispatchTimeAvgNs,1710658117651000000,1710658177656000000,1750909.3531598514
FlushQueue.executionTime90PNs,1710658117651000000,1710658177656000000,561151
AWTEventQueue.dispatchTimeMaxNs,1710658117651000000,1710658177656000000,91226111
AWTEventQueue.dispatchTime90PNs,1710658117651000000,1710658177656000000,1851391
FileNameCache.totalMisses,1710658117651000000,1710658177656000000,0
FileNameCache.fastMisses,1710658117651000000,1710658177656000000,13736
FileNameCache.queries,1710658117651000000,1710658177656000000,344131
FilePageCache.disposedBuffers,1710658177656000000,1710658237653000000,0
StorageLockContext.competingThreads.max,1710658177656000000,1710658237653000000,0
FilePageCache.pageFastCacheHits,1710658177656000000,1710658237653000000,2092
FilePageCache.uncachedFileAccess,1710658177656000000,1710658237653000000,0
StorageLockContext.competingThreads.avg,1710658177656000000,1710658237653000000,0.0
FilePageCache.maxRegisteredFiles,1710658177656000000,1710658237653000000,705
